plot_id,r10_mean,r10_tuesday,plant_species_richness,plant_shannon_diversity,shoot_mass,litter_mass,root_mass,c_mic,som,soil_water_content,max_whc,gpp_mean,gpp_tuesday
,µmol m-2 s-1,µmol m-2 s-1,plants,plants,g m-2,g m-2,g m-2,g C m-2 (15cm depth),(%),g H2O g DW,gH2O g DW,µmol m-2 s-1,µmol m-2 s-1
A1,3.6812,3.029,18,2.31,83.35,210.83,372.03,183.74,4.740680555,0.20,0.60,11.82,8.14
A2,4.3295,3.693,15,1.71,95.84,359.67,394.90,115.99,4.694727144,0.18,0.52,12.29,8.92
A3,4.4743,4.291,11,1.12,177.09,475.82,257.63,133.34,4.448375911,0.16,0.54,9.85,5.53
B1,4.2356,4.036,18,1.83,87.50,133.58,876.35,162.44,5.282060257,0.18,0.61,11.67,10.91
B2,4.4105,3.643,24,2.08,103.50,246.33,834.57,159.04,4.364872123,0.18,0.58,14.62,12.52
B3,4.954,4.983,21,1.79,136.58,364.42,689.34,154.08,5.106427649,0.17,,14.83,14.00
C1,2.1104,2.143,13,1.32,74.70,274.92,451.60,160.72,8.012428485,0.26,0.70,3.09,2.14
C2,2.8963,2.725,16,1.32,118.85,170.50,112.40,186.69,6.228778703,0.24,0.65,5.80,4.19
C3,1.8772,1.512,12,0.87,102.68,408.10,322.29,184.51,7.693166003,0.27,0.72,3.51,2.22
D1,3.3356,2.621,25,2.17,91.35,166.92,729.13,280.97,7.551644434,0.28,0.81,7.49,6.75
D2,2.2144,2.937,25,2.35,115.80,213.83,942.00,204.69,7.099421765,0.25,0.80,5.53,6.61
D3,2.608,2.055,22,2.56,118.30,195.97,646.07,241.82,7.001171498,0.24,0.69,6.14,6.30