plot,reco,r10,temp
,µmol m-2 s-2,µmol m-2 s-2,C°
A1,3.020084726,3.029223954,9.95
A1,4.860488209,4.333254402,11.9
A2,3.760805468,3.693238353,10.3
A2,5.689057657,4.965795608,12.25
A3,4.369430571,4.290928819,10.3
A3,5.272061419,4.657769446,12.05
B1,4.197808533,4.036112892,10.65
B1,5.316623479,4.435071012,13
B2,3.881570637,3.642924156,11.05
B2,6.340006983,5.178078393,13.35
B3,5.277734342,4.983272915,10.95
B3,5.921533375,4.924777331,13.05
C1,2.108995587,2.077372575,10.25
C1,2.156472947,2.143480334,10.1
C2,3.19965214,3.067122974,10.7
C2,2.750248591,2.725430957,10.15
C3,2.155926793,2.242298005,9.35
C3,1.493846103,1.512010754,9.8
D1,4.225361475,4.050347564,10.7
D1,2.826583599,2.62093016,11.25
D2,1.561085612,1.491910908,10.75
D2,3.167338287,2.936892595,11.25
D3,3.440494431,3.161387317,11.4
D3,2.297560316,2.054534648,11.85